participant_id,condition,item,question,text
59b19a277f6c84000151c001,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",easy to use and prompt with replies and offering extra information
6a06e63d31c90ee68757b0d3,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Tried to get answer myself and if unable then relied on AI
6a271c0daa928450f32c7507,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I first read the scenario and question,  used the AI to answer the question, then i read through the explanation and compared the analysis to the scenario,"
6a271c0daa928450f32c7507,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",The explanations and analysis were very detailed which made it quite convincing and trustworthy
65b9a002909e6b9bd3520066,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I relied on AI as the items were very intense for me to work out manually would have been very time consuming and did not appear effect use of time
5f160514e2a4062d2a0ded58,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",trust in ai
6a00e2783fab0770e1f95674,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","i trusted the ai, also based on my own understanding"
6a1002dabe7f5c918f052d3e,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",my head
6a1002dabe7f5c918f052d3e,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",none
6a0247c711c1663a4074fa1b,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","i didnt, too complicated and AI did all the heavy lifting"
69fdda7887e460a4d33c272a,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","i just asked the ai o be sure of its answer, usually makes them double check the workings"
5c4f9227af9f500001be902e,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","When I wasn't the answer that the AI gave was correct to what I had, it made me question it more, and when I did, it changed it mind, which made me check what it was saying more, and asking the AI to give more proof behind it's answer.  That was the point that made me realise that the answers it gave in the earlier questions wasn't to be trusted."
679153802a458f825959cf4a,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",i mostly compared my answers and that of the generative AI
679153802a458f825959cf4a,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",no comment
5908ee77d4b33900015cb3f7,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",To be honest I gave up trying to work out the answers myself.  It was too difficult.  I 100% relied on AI
5908ee77d4b33900015cb3f7,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",None
6702f60844f21087e0840e3d,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",read the actual texts and followed the AI response closely to make sure it's correct
6702f60844f21087e0840e3d,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",n/a
6a11e96e121c58edac86d8ae,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Went through the scenario carefully and compared with the AIs answers
6a11e96e121c58edac86d8ae,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","This was a very well thought out study,I enjoyed taking part"
6a07018cc4b031d691ad7868,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I just followed the instruction given in other to provide answers
6a07018cc4b031d691ad7868,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",Thank you very much.
6a1705de4d66fdccca1d1192,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I tried to get the AI to check its own workings. Occasionally I would just reask the question to see if it came to the same answer. I would also try to get it to summarise its answers to I could see how it was reaching the conclusions. Some of the wording in the scenarios at the end was a bit ambiguous so it was hard to feel confident in your answer.
6a0b25192c5d95c79b377fc8,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I mostly used the AI system ensuring it had all the information
67118c5934ddcc26346c3183,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",i tried to read the scenerio and get help from ai to understand more better.
67118c5934ddcc26346c3183,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",it was good experience.
6a073f16a1eef181e8a76922,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I co-exist with the AI to solve the task
6a073f16a1eef181e8a76922,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",The AI is very good with the way it process the prompt
6a19406dba2ddac41395a833,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I have used mainly AI and trusted it, as I have given all of the information needed. It has speeded up the time."
6a19406dba2ddac41395a833,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",None
69efb71c13372cd446d8b074,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",check my answers
69efb71c13372cd446d8b074,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",AI was very helpful in picking the correct answers. it helped to reduce mental stress.
63d0e55975e5beb4cdb7b188,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I asked the AI, then checked to see if it was correct looking through the scenario."
63d0e55975e5beb4cdb7b188,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","No, none. Was interesting to do."
62e02b26e879244a99e852fa,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Just had a quick look to see if the answers sounded plausible.
57f9238bc786ac00011ebc72,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I inputted the scenario provided into the AI agent, alongside the specific questions that needed to be assessed. From there, I asked it to answer the questions provided, bolding up any key bits of information relevant to solving the questions to determine which were correct, if either."
677c5eca7746c5274a7d88a4,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I used the Ai assstant provided to answer some questions.
69f1cef04898374f3c779ab0,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",questioning the AI if its sure or if it can double check or give me its reasoning behind the answer.
5cab22cd68194f001511b2d6,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I asked the AI the question and then I checked its reasoning against the scenario and decided whether I thought it was correct or not.
6a0464c4873f031f438f0327,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I double checked every answer and re read every scenario till i fully understood the message
6a1d6ed2d1f659ae0b6ed638,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","AI use for summarising, reading over the scenarios"
6a1ea2a53b2581b93256a6a6,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I by myself read all the scenario rules so I understood every statement clearly before deciding whether it was correct without the assistance of the AI
6a1ea2a53b2581b93256a6a6,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","none, I had less interaction with it"
6a186b9f5994daad25347f2d,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I cross-check the answer given to me by the AI and compare them with my understanding about the task
6a186b9f5994daad25347f2d,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",No comment
6a1806979a036be32a527ff3,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I have have a multi model orchestration system that gives a consensus score on technical problems - these are then reviewed by me to enable a clear decision to be made.
6a1806979a036be32a527ff3,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",The LLM gave clear working out on the results and how it got to this result. If the goal was to try to see the effectiveness of my use of LLM's then if the LLM is doing it job it should be perfect.
671a3ac3dada5efe6d439698,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I tried to figure out if there were any AI answers that I disagreed with, and made sure that I read through the reasoning that each answer gave."
6a19fedb153705573a04a9b2,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I read through and completely believe the result of AI if it align with what i have in mind.
697fbcfaae6bc29a56c28d58,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I read the scenarios properly before making decisions
697fbcfaae6bc29a56c28d58,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",Amazing and worth learning study
66796f6a50ac90662e958273,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",just trusted the AI
6a00e36e3f9414f0d94977fd,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I thought about my own answer first. Then I would read the AI response to see if the same answer was provided. If so, I went with that response straightaway. If it differed, I thought longer about the scenario before submitting my answer. In most cases, after reviewing again I agreed with the AI."
6a00e36e3f9414f0d94977fd,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",None
63d7a55aac703039f14c6705,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I tried doing them myselve first and double check my answer with AI and if we different i see its reasoning and consider and if they question was too complex i would just use the ai answer
63d7a55aac703039f14c6705,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",No
6a0c5ad1f13f59bf0a03fffc,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Well I preferred to get a quick overview with the AI Assistant to highlight the main points and then I would Paste the question to the AI Assistant and ask for relevant answer.
6a0c5ad1f13f59bf0a03fffc,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",The AI Assistant proves efficient and effective. I believe it is of great assistance when completing tasks.
5cf510ccb0bafb00161ffd56,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",i provided the ai assistant with the scenario and then with the options to look at to see what statement was correct
5cf510ccb0bafb00161ffd56,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",none
637fad91c9976f9e66a65840,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I relied entirely on the AI to recommend a decision but always asked it to double check before accepting its answer.
637fad91c9976f9e66a65840,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",None
6a4414eb85f59713b94a03a1,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I first try  to answer on my own, then I ask the AI to see if I'm correct, if not then I will check the reasons it gave for it's own answers if they actually make sense"
6a4414eb85f59713b94a03a1,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",The interaction was smooth overall
69f0e5c8a2d68fe090716dc0,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I read the scenario more than once before answering questions.
6a21f4c12774bbcebeeca3e7,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","Carefully read the scenarios and the questions, then try my best to be objective in terms of decision making. Finally, take AI's recommendation before the submission."
6a21f4c12774bbcebeeca3e7,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",AI assistant was smart and helpful. Felt like a true professional assistant.
559bbbdafdf99b7ce19d5b3d,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I followed the logic of the AI answers and if it made sense to me, I agreed with it. The information was too involved for me to figure it out alone without AI helping me.  If AI seemed to struggle in the computation, I double checked. If it seemed sure and fast, I trusted it."
559bbbdafdf99b7ce19d5b3d,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",I thought the AI was very good at calculating the problems.
6a269f30c7c9932b93e39124,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",First I asked the AI about the scenario and then I asked the corresponding questions and then I read the scenario myself and try to answer the question to see if it will match
6a00dc49200488c52c09e666,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I just told the AI the scenario then asked it the questions. I checked a couple and I found one error it seemed to make. I also asked the AI on occassion why the answers it gave me were correct and why the rest were wrong.
669053bbebafdd430e770142,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","i simply copied and pasted the questions . It was far too complicated for me to do on my own,"
6a063889228a40fd72e93598,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I asked for a rating of what the AI thought the likelyhood of it being correct was.
6a063889228a40fd72e93598,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","The AI is a little slow, faster for some tasks than others, i guess that is based on how complex they are."
5be373e07e3c9b0001c4d434,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I sense checked some of the answers
5be373e07e3c9b0001c4d434,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",None
5c0cb29e1b80df00017843d2,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I selected what I felt best suited the option after reading the scenario and exercise. I also used the help of the AI
5c0cb29e1b80df00017843d2,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",Good survey
613a37819b27acb95e432628,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I gave the AI the context and sometimes the questions, asked it to expand on the questions and also asked it to do things to help me understand things more."
69f6512526e29f5893e6c203,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I read all scenarios carefully, I had some doubts after reading, but I tried to give as much detailed instructions as possible to the AI. After I got the response from the AI, I tried to understand why and what the reasons behind that to the best of my capabilities."
69f6512526e29f5893e6c203,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","I encountered some technical issues during the study, the AI could not answer one of my questions, it stopped at reasoning until I copy pasted the question again."
6a0dca3aabf1a745cf2fc4d8,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",no
69f251f0d23a0b8b82cab811,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Let AI do its reasoning while I checked what my answers would be. Then see if they match my expectations.
55d22025cc2b18000c0b9d9c,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","If the scenario or the question seemed quite complex, I'd ensure I cross referenced the statements that the AI gave me with the scenario I was presented, as sometimes they can invent rules that are completely wrong. Even then, I wasn't always sure if I was second guessing myself or the AI!"
6a180ce2e153fafcb23cb3cc,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","At first it was to take in the scenario and then proceed back to the questions, it sometimes meant double or triple reading due to how much inforamtion needed to be balanced. Then it was a case of feeding it to the AI and seeing if what I thought matched up with it's responses and if necessary check the AI's interpretation."
69fb9150ffbd80e33acb2237,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",strictly logic constraint matrix checks
69fb9150ffbd80e33acb2237,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","fast, accurate, helpful, clrear collabotaor"
6a05f983071b3fb2a0e01414,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","Initially, I came up with my own conclusion then cross referenced. I often noticed there were discrepancies, and challenged them. The next two scenarios I felt were harder and more fatiguing, so I asked the AI to give their conclusion which I then read and challenged myself. Where I wasn't sure, I got the AI to check its answers again more thoroughly."
6a15aecec496a8f5acb7ea17,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I briefly read the scenario and considered potential solutions, and checked this aligned with what the AI had said. However, sometimes the scenario was very complex and I found it difficult to verify, so I had to trust the AI."
5e1e6eccd727e91c36a943fd,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","Double checking, asking for confidence percentages and full explanations."
6a148943d63fe1ecc3e2970d,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Read through the text to make sure the Ai was correct and asked the AI to double check and evaluate its answers against other outcomes
6a148943d63fe1ecc3e2970d,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",All good
6a15c95975b2d293de75ed8c,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I basically delegated the solving to the AI then read the answer to see if the reasoning made sense which it always did. And when I made a mistake they declared they did not have sufficient information to make a judgement which reinforced my trust in the AI.
6a15c95975b2d293de75ed8c,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",I thought it performed very well.
6a063e75051be6d8504d339b,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Using Critical Thinking
6a063e75051be6d8504d339b,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",Not at all
6a062356e11b977c2d0a0eef,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I asked AI to double-check
6a01c4c8248651c0157c76c5,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I checked my answers by asking AI.
6a01c4c8248651c0157c76c5,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",It was simple and easy to navigate
69ebc08476719be8a035de6d,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I relied on the AI tool entirely
69ebc08476719be8a035de6d,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",It seemed to work well
6151e69a392433707e7a9dfb,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I copied the full scenario and asked the AI to check each constraint step by step. I then compared the AI's answer against the scenario myself, especially availability, timing, cost and whether any counterexample schedule was possible."
6151e69a392433707e7a9dfb,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","The AI was useful for organising the information quickly, but I still needed to verify its reasoning because it sometimes overlooked constraints or made scheduling errors."
6a0f4efa4c1c3cea7f8f090a,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Initially I questioned the AI to make sure but then I trusted it too much and did not ask extra questions for a few until I realised it was providing incorrect suggestions and I made sure to question it heavily towards the end.
6a0f4efa4c1c3cea7f8f090a,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",I assume it was set to provide correct answers on only some of the questions and on others you had to challenge it to find the correct answer. Although on one it changed to all four answer choices and clearly had no idea what the answer was.
69ff773caae9f9dfb3fc081c,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I worked out the answers to the best of my ability, asked the LLM and evaluated its answers"
66fad26e4b07f6149ceb136d,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I began to trust the AI assistant more as the task progressed. At the beginning I tried to solve the problems completely by myself, but as we progressed I put more and more trust into the AI and only really half checked whether they were right, particularly if the AI's reasoning appeared to be sound."
66fad26e4b07f6149ceb136d,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","It took me a turn to realise that the AI needed to have the information given to them and it was not able to see what I saw, but then I found a method and a working pattern with the AI."
6a24daa3f97e30d2143a085a,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I tried to understand the scenarios, but some were very wordy and hard to get my head around. For the first two scenarios, i highly depended on AI for the answers. For the last scenario, i used my own knowledge more as i understood the scenario better, and used AIs prompts to help solidy my answer"
6a21da4f7725746be976f70f,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I used RAG style prompting to get answers by making the AI answer from provided information and nothing else.
6a21da4f7725746be976f70f,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",no comments
6a1f2648e8f22a561550e699,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I gave the AI the input info and read a quick overview and fact checked a couple of things, but not in detail or depth"
6a1f2648e8f22a561550e699,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",none
6a11601203137aea7dacc186,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",i crossed the dates and compared with ai resultd
6a11601203137aea7dacc186,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",no
6a0c537b5ea99e16c2db1324,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","Tried solving without AI, then making the AI solve it. If we had the same answers, I didn't bother checking and was confident. If we had different answers, I used the AI's answer after checking the logic."
6a1de887b7cd6b85f4db6cf2,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I gave AI the information from the scenario. Allowed the AI tool to summarise the information and then posed the question.
602252fc987b513210335173,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","Added the scenario for the AI to understand the background then got the AI to answer the question, I asked the question first then provided the scenario and compared if the answer was the same"
60dc63cf94238618c443b2d9,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",none
62e25115fb932baf4a93173f,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","To be honest, I trusted that the AI knew what it was doing. I am aware that it can sometimes be incorrect and hallucinate its answers but I have low confidence for these kinds of problem solving scenarios, so I was happy to go long with the AI recommendation and just trust that it would be right more often than not."
62e25115fb932baf4a93173f,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","It certainly seemed like a competent model, although through the study I did wonder if this model was set up to be deliberately bad to see if human users could spot the errors it was making. I think it did a fine job but I didn't spend too much time double checking its answers. I do believe in general the AI is trustworthy and I wouldn't put too much doubt into its performance."
614714ff71b7fab77e0a8ef6,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","i trusted AI, so i used the guide and confidently knew it knew what it was doing"
614714ff71b7fab77e0a8ef6,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.","i enjoy using AI, i trust it."
6a33b4c44efab6e3d08691d7,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","Read both task and answers, get AI's opinion"
5f3ec93efbd299158253f283,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","i found the tasks too complicated to solve on my own within the time specified. if i had tried then it would have taken me hours., so i had to rely on the AI. I was satisfied that it had fully reasoned how it got to its conclusions so i trusted its output without checking the answers thoroughly."
5f3ec93efbd299158253f283,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",i thought the AI did a great job in solving the problems and i really appreciated having it available to help.
6a0f6dad60f4e6d19724e737,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I used my logic, asides following the AI, I also thought about the answers before the AI responded and I only used the AI's response if it was the same with mine. Except ones i wasn't sure about"
63d7b16595cb392c4501cc1e,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",none i just went off what ai said
