condition,pid,task_id,question,verdict,mode,answer,answer_correct,correct_option,n_assistant_msgs,parsed,followed,ai_correct,correct,difficulty_z
ai,6a04d6f7d3e6d5170c2f1584,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,6a04d6f7d3e6d5170c2f1584,9,ypc_06,B,full,B,False,A,1,True,1,0,0,1.2128699231039075
ai,6a04d6f7d3e6d5170c2f1584,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,6a04d6f7d3e6d5170c2f1584,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,6a04d6f7d3e6d5170c2f1584,12,car_racing_03,D,full,D,False,B,1,True,1,0,0,-0.49082695884806904
ai,6a04d6f7d3e6d5170c2f1584,13,car_racing_05,D,full,D,False,A,1,True,1,0,0,0.5313911703231169
ai,6a04d6f7d3e6d5170c2f1584,14,graduation_party_01,B,full,B,True,B,2,True,1,1,1,-1.5130450880192552
ai,6a04d6f7d3e6d5170c2f1584,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,6a04d6f7d3e6d5170c2f1584,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,6a04d6f7d3e6d5170c2f1584,17,graduation_party_07,A,full,A,False,B,1,True,1,0,0,0.7017608585183145
ai,6a22afd22ece5ef29b598074,6,ypc_02,D,full,D,True,D,1,True,1,1,1,-0.8072278083534364
ai,6a22afd22ece5ef29b598074,7,ypc_03,B,full,B,True,B,2,True,1,1,1,0.847792019828484
ai,6a22afd22ece5ef29b598074,8,ypc_05,A,full,A,True,A,2,True,1,1,1,0.3366829552428909
ai,6a22afd22ece5ef29b598074,9,ypc_06,D,full,D,False,A,2,True,1,0,0,1.2128699231039075
ai,6a22afd22ece5ef29b598074,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,6a22afd22ece5ef29b598074,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,6a22afd22ece5ef29b598074,12,car_racing_03,B,full,B,True,B,1,True,1,1,1,-0.49082695884806904
ai,6a22afd22ece5ef29b598074,13,car_racing_05,A,full,A,True,A,3,True,1,1,1,0.5313911703231169
ai,6a22afd22ece5ef29b598074,14,graduation_party_01,B,full,B,True,B,3,True,1,1,1,-1.5130450880192552
ai,6a22afd22ece5ef29b598074,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,6a22afd22ece5ef29b598074,16,graduation_party_06,D,full,D,True,D,2,True,1,1,1,-0.3691343244229278
ai,6a22afd22ece5ef29b598074,17,graduation_party_07,D,full,D,False,B,1,True,1,0,0,0.7017608585183145
ai,67d4773442ee746bb00b2542,6,ypc_02,A,full,A,False,D,1,True,1,0,0,-0.8072278083534364
ai,67d4773442ee746bb00b2542,7,ypc_03,B,full,B,True,B,1,True,1,1,1,0.847792019828484
ai,67d4773442ee746bb00b2542,8,ypc_05,A,full,A,True,A,1,True,1,1,1,0.3366829552428909
ai,67d4773442ee746bb00b2542,9,ypc_06,B,full,C,False,A,1,True,0,0,0,1.2128699231039075
ai,67d4773442ee746bb00b2542,10,car_racing_01,A,full,A,False,D,1,True,1,0,0,-1.7807688837545659
ai,67d4773442ee746bb00b2542,11,car_racing_02,B,full,D,False,C,1,True,0,0,0,1.1885313962188795
ai,67d4773442ee746bb00b2542,12,car_racing_03,B,full,D,False,B,1,True,0,1,0,-0.49082695884806904
ai,67d4773442ee746bb00b2542,13,car_racing_05,A,full,A,True,A,1,True,1,1,1,0.5313911703231169
ai,67d4773442ee746bb00b2542,14,graduation_party_01,B,full,B,True,B,2,True,1,1,1,-1.5130450880192552
ai,67d4773442ee746bb00b2542,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,67d4773442ee746bb00b2542,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,67d4773442ee746bb00b2542,17,graduation_party_07,D,full,A,False,B,1,True,0,0,0,0.7017608585183145
ai,67894c4106e9380ced60256e,6,ypc_02,A,full,A,False,D,1,True,1,0,0,-0.8072278083534364
ai,67894c4106e9380ced60256e,7,ypc_03,A,full,A,False,B,2,True,1,0,0,0.847792019828484
ai,67894c4106e9380ced60256e,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,67894c4106e9380ced60256e,9,ypc_06,B,full,B,False,A,1,True,1,0,0,1.2128699231039075
ai,67894c4106e9380ced60256e,10,car_racing_01,A,full,A,False,D,2,True,1,0,0,-1.7807688837545659
ai,67894c4106e9380ced60256e,11,car_racing_02,B,full,B,False,C,2,True,1,0,0,1.1885313962188795
ai,67894c4106e9380ced60256e,12,car_racing_03,D,full,D,False,B,1,True,1,0,0,-0.49082695884806904
ai,67894c4106e9380ced60256e,13,car_racing_05,D,full,D,False,A,1,True,1,0,0,0.5313911703231169
ai,67894c4106e9380ced60256e,14,graduation_party_01,B,full,B,True,B,2,True,1,1,1,-1.5130450880192552
ai,67894c4106e9380ced60256e,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,67894c4106e9380ced60256e,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,67894c4106e9380ced60256e,17,graduation_party_07,B,full,B,True,B,1,True,1,1,1,0.7017608585183145
ai,69fd9d6f7d9cd6c042e8a1cc,6,ypc_02,D,full,D,True,D,2,True,1,1,1,-0.8072278083534364
ai,69fd9d6f7d9cd6c042e8a1cc,7,ypc_03,A,full,A,False,B,1,True,1,0,0,0.847792019828484
ai,69fd9d6f7d9cd6c042e8a1cc,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,69fd9d6f7d9cd6c042e8a1cc,9,ypc_06,B,full,B,False,A,1,True,1,0,0,1.2128699231039075
ai,69fd9d6f7d9cd6c042e8a1cc,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,69fd9d6f7d9cd6c042e8a1cc,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,69fd9d6f7d9cd6c042e8a1cc,12,car_racing_03,B,full,B,True,B,1,True,1,1,1,-0.49082695884806904
ai,69fd9d6f7d9cd6c042e8a1cc,13,car_racing_05,D,full,D,False,A,1,True,1,0,0,0.5313911703231169
ai,69fd9d6f7d9cd6c042e8a1cc,14,graduation_party_01,C,full,C,False,B,1,True,1,0,0,-1.5130450880192552
ai,69fd9d6f7d9cd6c042e8a1cc,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,69fd9d6f7d9cd6c042e8a1cc,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,69fd9d6f7d9cd6c042e8a1cc,17,graduation_party_07,D,full,D,False,B,1,True,1,0,0,0.7017608585183145
ai,6a2012eff90f7af67fdfb112,6,ypc_02,A,full,A,False,D,1,True,1,0,0,-0.8072278083534364
ai,6a2012eff90f7af67fdfb112,7,ypc_03,A,full,A,False,B,2,True,1,0,0,0.847792019828484
ai,6a2012eff90f7af67fdfb112,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,6a2012eff90f7af67fdfb112,9,ypc_06,B,full,B,False,A,1,True,1,0,0,1.2128699231039075
ai,6a2012eff90f7af67fdfb112,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,6a2012eff90f7af67fdfb112,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,6a2012eff90f7af67fdfb112,12,car_racing_03,B,full,B,True,B,2,True,1,1,1,-0.49082695884806904
ai,6a2012eff90f7af67fdfb112,13,car_racing_05,D,full,D,False,A,2,True,1,0,0,0.5313911703231169
ai,6a2012eff90f7af67fdfb112,14,graduation_party_01,C,full,C,False,B,1,True,1,0,0,-1.5130450880192552
ai,6a2012eff90f7af67fdfb112,15,graduation_party_05,A,full,A,True,A,1,True,1,1,1,0.14197474016266495
ai,6a2012eff90f7af67fdfb112,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,6a2012eff90f7af67fdfb112,17,graduation_party_07,C,full,C,False,B,2,True,1,0,0,0.7017608585183145
ai,6a1c0a74391cb03e607159f3,6,ypc_02,A,full,D,True,D,1,True,0,0,1,-0.8072278083534364
ai,6a1c0a74391cb03e607159f3,7,ypc_03,C,full,B,True,B,1,True,0,0,1,0.847792019828484
ai,6a1c0a74391cb03e607159f3,9,ypc_06,D,full,A,True,A,3,True,0,0,1,1.2128699231039075
ai,6a1c0a74391cb03e607159f3,10,car_racing_01,A,full,D,True,D,1,True,0,0,1,-1.7807688837545659
ai,6a1c0a74391cb03e607159f3,11,car_racing_02,C,full,C,True,C,1,True,1,1,1,1.1885313962188795
ai,6a1c0a74391cb03e607159f3,12,car_racing_03,D,full,B,True,B,1,True,0,0,1,-0.49082695884806904
ai,6a1c0a74391cb03e607159f3,14,graduation_party_01,B,full,B,True,B,1,True,1,1,1,-1.5130450880192552
ai,6a1c0a74391cb03e607159f3,16,graduation_party_06,B,full,D,True,D,1,True,0,0,1,-0.3691343244229278
ai,6a1c0a74391cb03e607159f3,17,graduation_party_07,D,full,B,True,B,1,True,0,0,1,0.7017608585183145
ai,5c0430c71a20110001e9b05a,6,ypc_02,D,full,D,True,D,1,True,1,1,1,-0.8072278083534364
ai,5c0430c71a20110001e9b05a,7,ypc_03,A,full,A,False,B,1,True,1,0,0,0.847792019828484
ai,5c0430c71a20110001e9b05a,8,ypc_05,A,full,A,True,A,2,True,1,1,1,0.3366829552428909
ai,5c0430c71a20110001e9b05a,9,ypc_06,D,full,D,False,A,2,True,1,0,0,1.2128699231039075
ai,5c0430c71a20110001e9b05a,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,5c0430c71a20110001e9b05a,11,car_racing_02,A,full,A,False,C,1,True,1,0,0,1.1885313962188795
ai,5c0430c71a20110001e9b05a,12,car_racing_03,D,full,D,False,B,2,True,1,0,0,-0.49082695884806904
ai,5c0430c71a20110001e9b05a,13,car_racing_05,D,full,D,False,A,1,True,1,0,0,0.5313911703231169
ai,5c0430c71a20110001e9b05a,14,graduation_party_01,A,full,A,False,B,2,True,1,0,0,-1.5130450880192552
ai,5c0430c71a20110001e9b05a,15,graduation_party_05,A,full,A,True,A,1,True,1,1,1,0.14197474016266495
ai,5c0430c71a20110001e9b05a,16,graduation_party_06,A,full,A,False,D,1,True,1,0,0,-0.3691343244229278
ai,5c0430c71a20110001e9b05a,17,graduation_party_07,A,full,A,False,B,1,True,1,0,0,0.7017608585183145
ai,676ada80fe4f612146e3c8b3,6,ypc_02,D,full,D,True,D,2,True,1,1,1,-0.8072278083534364
ai,676ada80fe4f612146e3c8b3,7,ypc_03,B,full,B,True,B,1,True,1,1,1,0.847792019828484
ai,676ada80fe4f612146e3c8b3,8,ypc_05,B,full,B,False,A,1,True,1,0,0,0.3366829552428909
ai,676ada80fe4f612146e3c8b3,9,ypc_06,C,full,C,False,A,1,True,1,0,0,1.2128699231039075
ai,676ada80fe4f612146e3c8b3,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,676ada80fe4f612146e3c8b3,11,car_racing_02,B,full,B,False,C,2,True,1,0,0,1.1885313962188795
ai,676ada80fe4f612146e3c8b3,12,car_racing_03,D,full,D,False,B,1,True,1,0,0,-0.49082695884806904
ai,676ada80fe4f612146e3c8b3,13,car_racing_05,A,full,A,True,A,1,True,1,1,1,0.5313911703231169
ai,676ada80fe4f612146e3c8b3,14,graduation_party_01,C,full,C,False,B,2,True,1,0,0,-1.5130450880192552
ai,676ada80fe4f612146e3c8b3,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,676ada80fe4f612146e3c8b3,16,graduation_party_06,B,full,B,False,D,1,True,1,0,0,-0.3691343244229278
ai,676ada80fe4f612146e3c8b3,17,graduation_party_07,D,full,D,False,B,1,True,1,0,0,0.7017608585183145
ai,5a9c41f2dbdb470001eeef9c,6,ypc_02,A,full,A,False,D,1,True,1,0,0,-0.8072278083534364
ai,5a9c41f2dbdb470001eeef9c,7,ypc_03,D,full,D,False,B,1,True,1,0,0,0.847792019828484
ai,5a9c41f2dbdb470001eeef9c,8,ypc_05,A,full,A,True,A,1,True,1,1,1,0.3366829552428909
ai,5a9c41f2dbdb470001eeef9c,9,ypc_06,A,full,A,True,A,2,True,1,1,1,1.2128699231039075
ai,5a9c41f2dbdb470001eeef9c,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,5a9c41f2dbdb470001eeef9c,11,car_racing_02,C,full,C,True,C,2,True,1,1,1,1.1885313962188795
ai,5a9c41f2dbdb470001eeef9c,12,car_racing_03,D,full,D,False,B,1,True,1,0,0,-0.49082695884806904
ai,5a9c41f2dbdb470001eeef9c,13,car_racing_05,D,full,D,False,A,1,True,1,0,0,0.5313911703231169
ai,5a9c41f2dbdb470001eeef9c,14,graduation_party_01,B,full,B,True,B,3,True,1,1,1,-1.5130450880192552
ai,5a9c41f2dbdb470001eeef9c,15,graduation_party_05,D,full,A,True,A,3,True,0,0,1,0.14197474016266495
ai,5a9c41f2dbdb470001eeef9c,16,graduation_party_06,D,full,D,True,D,2,True,1,1,1,-0.3691343244229278
ai,5a9c41f2dbdb470001eeef9c,17,graduation_party_07,A,full,A,False,B,1,True,1,0,0,0.7017608585183145
ai,614b11e399369a0d52b5fbf6,6,ypc_02,D,full,D,True,D,1,True,1,1,1,-0.8072278083534364
ai,614b11e399369a0d52b5fbf6,7,ypc_03,A,full,A,False,B,1,True,1,0,0,0.847792019828484
ai,614b11e399369a0d52b5fbf6,8,ypc_05,B,full,B,False,A,1,True,1,0,0,0.3366829552428909
ai,614b11e399369a0d52b5fbf6,9,ypc_06,B,full,B,False,A,1,True,1,0,0,1.2128699231039075
ai,614b11e399369a0d52b5fbf6,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,614b11e399369a0d52b5fbf6,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,614b11e399369a0d52b5fbf6,12,car_racing_03,B,full,B,True,B,1,True,1,1,1,-0.49082695884806904
ai,614b11e399369a0d52b5fbf6,13,car_racing_05,D,full,A,True,A,1,True,0,0,1,0.5313911703231169
ai,614b11e399369a0d52b5fbf6,14,graduation_party_01,B,full,B,True,B,1,True,1,1,1,-1.5130450880192552
ai,614b11e399369a0d52b5fbf6,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,614b11e399369a0d52b5fbf6,16,graduation_party_06,B,full,B,False,D,1,True,1,0,0,-0.3691343244229278
ai,5ca9106716aa84001725d880,6,ypc_02,D,full,D,True,D,2,True,1,1,1,-0.8072278083534364
ai,5ca9106716aa84001725d880,7,ypc_03,B,full,B,True,B,1,True,1,1,1,0.847792019828484
ai,5ca9106716aa84001725d880,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,5ca9106716aa84001725d880,9,ypc_06,C,full,C,False,A,1,True,1,0,0,1.2128699231039075
ai,5ca9106716aa84001725d880,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,5ca9106716aa84001725d880,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,5ca9106716aa84001725d880,13,car_racing_05,A,full,A,True,A,1,True,1,1,1,0.5313911703231169
ai,5ca9106716aa84001725d880,14,graduation_party_01,B,full,B,True,B,1,True,1,1,1,-1.5130450880192552
ai,5ca9106716aa84001725d880,15,graduation_party_05,D,full,C,False,A,1,True,0,0,0,0.14197474016266495
ai,5ca9106716aa84001725d880,16,graduation_party_06,D,full,D,True,D,2,True,1,1,1,-0.3691343244229278
ai,5ca9106716aa84001725d880,17,graduation_party_07,B,full,B,True,B,1,True,1,1,1,0.7017608585183145
ai,69e798083733072e5376734b,6,ypc_02,D,full,C,False,D,2,True,0,1,0,-0.8072278083534364
ai,69e798083733072e5376734b,7,ypc_03,C,full,C,False,B,1,True,1,0,0,0.847792019828484
ai,69e798083733072e5376734b,8,ypc_05,C,full,C,False,A,1,True,1,0,0,0.3366829552428909
ai,69e798083733072e5376734b,9,ypc_06,C,full,C,False,A,1,True,1,0,0,1.2128699231039075
ai,69e798083733072e5376734b,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,69e798083733072e5376734b,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,69e798083733072e5376734b,12,car_racing_03,B,full,B,True,B,1,True,1,1,1,-0.49082695884806904
ai,69e798083733072e5376734b,13,car_racing_05,D,full,D,False,A,1,True,1,0,0,0.5313911703231169
ai,69e798083733072e5376734b,14,graduation_party_01,B,full,B,True,B,1,True,1,1,1,-1.5130450880192552
ai,69e798083733072e5376734b,15,graduation_party_05,A,full,A,True,A,2,True,1,1,1,0.14197474016266495
ai,69e798083733072e5376734b,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,69e798083733072e5376734b,17,graduation_party_07,A,full,A,False,B,1,True,1,0,0,0.7017608585183145
ai,5ea824f580b9ef228f589930,6,ypc_02,D,full,D,True,D,2,True,1,1,1,-0.8072278083534364
ai,5ea824f580b9ef228f589930,7,ypc_03,B,full,B,True,B,4,True,1,1,1,0.847792019828484
ai,5ea824f580b9ef228f589930,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,5ea824f580b9ef228f589930,9,ypc_06,C,full,C,False,A,1,True,1,0,0,1.2128699231039075
ai,5ea824f580b9ef228f589930,10,car_racing_01,D,full,D,True,D,2,True,1,1,1,-1.7807688837545659
ai,5ea824f580b9ef228f589930,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,5ea824f580b9ef228f589930,12,car_racing_03,B,full,B,True,B,1,True,1,1,1,-0.49082695884806904
ai,5ea824f580b9ef228f589930,13,car_racing_05,C,full,C,False,A,1,True,1,0,0,0.5313911703231169
ai,5ea824f580b9ef228f589930,14,graduation_party_01,C,full,C,False,B,1,True,1,0,0,-1.5130450880192552
ai,5ea824f580b9ef228f589930,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,5ea824f580b9ef228f589930,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,5ea824f580b9ef228f589930,17,graduation_party_07,B,full,B,True,B,1,True,1,1,1,0.7017608585183145
ai,673f6ffebce20832346325de,6,ypc_02,D,full,C,False,D,2,True,0,1,0,-0.8072278083534364
ai,673f6ffebce20832346325de,7,ypc_03,B,full,B,True,B,2,True,1,1,1,0.847792019828484
ai,673f6ffebce20832346325de,8,ypc_05,A,full,A,True,A,2,True,1,1,1,0.3366829552428909
ai,673f6ffebce20832346325de,9,ypc_06,C,full,C,False,A,2,True,1,0,0,1.2128699231039075
ai,673f6ffebce20832346325de,10,car_racing_01,D,full,C,False,D,3,True,0,1,0,-1.7807688837545659
ai,673f6ffebce20832346325de,11,car_racing_02,B,full,B,False,C,2,True,1,0,0,1.1885313962188795
ai,673f6ffebce20832346325de,12,car_racing_03,B,full,B,True,B,2,True,1,1,1,-0.49082695884806904
ai,673f6ffebce20832346325de,13,car_racing_05,A,full,A,True,A,2,True,1,1,1,0.5313911703231169
ai,673f6ffebce20832346325de,14,graduation_party_01,B,full,B,True,B,2,True,1,1,1,-1.5130450880192552
ai,673f6ffebce20832346325de,15,graduation_party_05,D,full,D,False,A,2,True,1,0,0,0.14197474016266495
ai,673f6ffebce20832346325de,16,graduation_party_06,B,full,B,False,D,2,True,1,0,0,-0.3691343244229278
ai,673f6ffebce20832346325de,17,graduation_party_07,D,full,D,False,B,2,True,1,0,0,0.7017608585183145
ai,5ff454f2f0b5ed607169fba6,6,ypc_02,A,full,A,False,D,1,True,1,0,0,-0.8072278083534364
ai,5ff454f2f0b5ed607169fba6,7,ypc_03,D,full,D,False,B,5,True,1,0,0,0.847792019828484
ai,5ff454f2f0b5ed607169fba6,8,ypc_05,D,full,D,False,A,2,True,1,0,0,0.3366829552428909
ai,5ff454f2f0b5ed607169fba6,9,ypc_06,D,full,D,False,A,3,True,1,0,0,1.2128699231039075
ai,5ff454f2f0b5ed607169fba6,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,5ff454f2f0b5ed607169fba6,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,5ff454f2f0b5ed607169fba6,12,car_racing_03,B,full,B,True,B,2,True,1,1,1,-0.49082695884806904
ai,5ff454f2f0b5ed607169fba6,13,car_racing_05,D,full,D,False,A,3,True,1,0,0,0.5313911703231169
ai,5ff454f2f0b5ed607169fba6,14,graduation_party_01,B,full,B,True,B,2,True,1,1,1,-1.5130450880192552
ai,5ff454f2f0b5ed607169fba6,15,graduation_party_05,D,full,D,False,A,2,True,1,0,0,0.14197474016266495
ai,5ff454f2f0b5ed607169fba6,16,graduation_party_06,B,full,B,False,D,1,True,1,0,0,-0.3691343244229278
ai,5ff454f2f0b5ed607169fba6,17,graduation_party_07,B,full,B,True,B,1,True,1,1,1,0.7017608585183145
ai,6a00e5e9deafdfa23003cacb,6,ypc_02,A,full,A,False,D,1,True,1,0,0,-0.8072278083534364
ai,6a00e5e9deafdfa23003cacb,7,ypc_03,B,full,B,True,B,3,True,1,1,1,0.847792019828484
ai,6a00e5e9deafdfa23003cacb,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,6a00e5e9deafdfa23003cacb,9,ypc_06,B,full,B,False,A,3,True,1,0,0,1.2128699231039075
ai,6a00e5e9deafdfa23003cacb,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,6a00e5e9deafdfa23003cacb,12,car_racing_03,B,full,B,True,B,1,True,1,1,1,-0.49082695884806904
ai,6a00e5e9deafdfa23003cacb,13,car_racing_05,C,full,C,False,A,1,True,1,0,0,0.5313911703231169
ai,6a00e5e9deafdfa23003cacb,14,graduation_party_01,B,full,B,True,B,3,True,1,1,1,-1.5130450880192552
ai,6a00e5e9deafdfa23003cacb,15,graduation_party_05,D,full,D,False,A,1,True,1,0,0,0.14197474016266495
ai,6a00e5e9deafdfa23003cacb,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,6a00e5e9deafdfa23003cacb,17,graduation_party_07,B,full,B,True,B,1,True,1,1,1,0.7017608585183145
ai,69ffa808e93cf482f4829587,6,ypc_02,D,full,D,True,D,2,True,1,1,1,-0.8072278083534364
ai,69ffa808e93cf482f4829587,7,ypc_03,B,full,B,True,B,2,True,1,1,1,0.847792019828484
ai,69ffa808e93cf482f4829587,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,69ffa808e93cf482f4829587,9,ypc_06,C,full,C,False,A,6,True,1,0,0,1.2128699231039075
ai,69ffa808e93cf482f4829587,10,car_racing_01,B,full,D,True,D,1,True,0,0,1,-1.7807688837545659
ai,69ffa808e93cf482f4829587,11,car_racing_02,A,full,C,True,C,4,True,0,0,1,1.1885313962188795
ai,69ffa808e93cf482f4829587,12,car_racing_03,B,full,B,True,B,1,True,1,1,1,-0.49082695884806904
ai,69ffa808e93cf482f4829587,13,car_racing_05,D,full,C,False,A,1,True,0,0,0,0.5313911703231169
ai,69ffa808e93cf482f4829587,14,graduation_party_01,B,full,B,True,B,2,True,1,1,1,-1.5130450880192552
ai,69ffa808e93cf482f4829587,15,graduation_party_05,A,full,A,True,A,1,True,1,1,1,0.14197474016266495
ai,69ffa808e93cf482f4829587,16,graduation_party_06,D,full,D,True,D,3,True,1,1,1,-0.3691343244229278
ai,69ffa808e93cf482f4829587,17,graduation_party_07,B,full,B,True,B,5,True,1,1,1,0.7017608585183145
ai,6a05ca3ca97a0b5ea50dd24c,6,ypc_02,D,full,D,True,D,1,True,1,1,1,-0.8072278083534364
ai,6a05ca3ca97a0b5ea50dd24c,7,ypc_03,B,full,B,True,B,1,True,1,1,1,0.847792019828484
ai,6a05ca3ca97a0b5ea50dd24c,8,ypc_05,B,full,B,False,A,1,True,1,0,0,0.3366829552428909
ai,6a05ca3ca97a0b5ea50dd24c,9,ypc_06,B,full,B,False,A,1,True,1,0,0,1.2128699231039075
ai,6a05ca3ca97a0b5ea50dd24c,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,6a05ca3ca97a0b5ea50dd24c,11,car_racing_02,C,full,C,True,C,1,True,1,1,1,1.1885313962188795
ai,6a05ca3ca97a0b5ea50dd24c,12,car_racing_03,D,full,D,False,B,1,True,1,0,0,-0.49082695884806904
ai,6a05ca3ca97a0b5ea50dd24c,13,car_racing_05,D,full,D,False,A,1,True,1,0,0,0.5313911703231169
